title,category,content,active
"Как проходит первая консультация","process","Кратко: знакомимся с запросом, уточняем ожидания и собираем анамнез по стилю жизни. Далее мягко объясняем, как можно поддержать состояние через подходы ТКМ без обещаний быстрых результатов.",true
"Что подготовить к первичному приёму","preparation","Запишите основные жалобы и вопросы, возьмите результаты недавних обследований (если есть). Наденьте удобную одежду, которая не сковывает движения.",true
"Как работают иглы","acupuncture","Иглы используются как мягкий инструмент воздействия на биологически активные зоны. Ощущения обычно терпимые, задача — помочь расслабиться и перенаправить внимание к телу.",true
"Поддерживающие сессии","follow_up","После первичной консультации мы можем выстроить мягкий план регулярных сессий, чтобы отслеживать динамику и адаптировать рекомендации.",true
"Работа со стрессом и сном","stress_sleep","Сочетаем мягкие техники ТКМ, дыхательные практики и рекомендации по режиму, чтобы постепенно снижать уровень напряжения и поддерживать более качественный сон.",true
"Как происходит запись через веб","booking","Вы можете оставить заявку через веб-форму {web_url}. Мы уточним предпочтительное время и формат (онлайн/офлайн) и вернёмся с предложением ближайших слотов.",true
"Правила переноса и отмены","cancellation","Если нужно перенести или отменить запись, постарайтесь предупредить за 24 часа, чтобы этот слот мог занять другой человек.",true
"Адрес и формат очного приёма","address","Очные встречи проходят по адресу {address} (ориентир: {landmark}). Точный маршрут и вход будут продублированы после подтверждения записи.",true
"Противопоказания и ограничения","contraindications","При выраженной боли, высокой температуре, острых состояниях, подозрении на серьёзное заболевание сначала обратитесь к врачу. Подходы ТКМ могут использоваться как поддерживающие и не заменяют медицинскую диагностику.",true
"Онлайн-сопровождение между сессиями","support","Между очными встречами можно оставаться на связи в формате мягкого онлайн-сопровождения: задавать вопросы по режиму, фиксировать изменения самочувствия и получать аккуратные комментарии по дальнейшим шагам.",true
