key,title,text,channel,intent,risk_level,active
price_general,"Информация о форматах и ценах","По стоимости и форматам: есть первичная консультация, поддерживающие сессии и онлайн-сопровождение. Подробное описание и актуальные диапазоны цен можно посмотреть на странице записи {web_url}.",telegram,price,low,true
booking_general,"Как записаться","Чтобы записаться, оставьте заявку через форму {web_url}. Мы уточним удобные слоты и формат (онлайн/офлайн) и вернёмся с предложением времени.",telegram,booking,low,true
address_info,"Адрес и как добраться","Очные встречи проходят по адресу {address}. Ориентир: {landmark}. После записи через {web_url} мы отправим подробную схему прохода и напоминание перед сессией.",telegram,address,low,true
services_overview,"Что мы делаем","Работаем в логике традиционной китайской медицины: мягко исследуем взаимосвязи в теле, образ жизни и привычки, предлагаем поддерживающие шаги без медицинских диагнозов и обещаний результата. Больше деталей — на странице {web_url}.",telegram,services,low,true
objection_price,"Если стоимость ощущается высокой","Понимаю, что вопрос стоимости важен. Мы можем подобрать более мягкий по нагрузке формат (например, онлайн-сопровождение или реже очные встречи). Посмотрите доступные варианты на странице {web_url}, а в диалоге можно задать уточняющие вопросы.",telegram,objection_price,low,true
doubt_soft,"Если есть сомнения","Нормально сомневаться перед тем, как пробовать новый формат работы с собой. На странице {web_url} есть описание подхода и структуры первой встречи. Можно начать с одной пробной сессии и уже от неё решать, продолжать ли дальше.",telegram,doubt,low,true
contraindications_info,"Про ограничения и безопасность","Важно: при острых состояниях, выраженной боли, высокой температуре и подозрении на серьёзное заболевание сначала обратитесь к врачу. Наш формат — поддерживающий и не заменяет медицинскую диагностику. Общие правила и дисклеймер описаны на странице {web_url}.",telegram,contraindications,medium,true
other_default,"Общий ответ на открытый вопрос","Спасибо за ваш запрос. Я могу задать 1–3 уточняющих вопроса и предложить варианты формата работы и времени. Если вам удобно, можно сразу оставить заявку через веб-форму {web_url}, а сюда я пришлю предложенные слоты.",telegram,other,low,true
fallback_web,"Если не удалось доставить ответ","Сейчас не получилось корректно отправить сообщение в Telegram. Чтобы диалог не потерялся, пожалуйста, перейдите в веб-хаб {web_url} и оставьте свой запрос там — так мы точно сможем с вами связаться.",,other,low,true
web_price,"Ответ на вопрос о цене (веб)","Спасибо за вопрос. Краткое описание форматов и ориентиры по стоимости уже есть на странице {web_url}. После заявки мы при необходимости уточним детали и подберём комфортную по нагрузке конфигурацию работы.",web,price,low,true
web_booking,"Подтверждение записи через веб","Заявку получили, спасибо. В ближайшее время мы свяжемся с вами по указанным контактам, уточним удобные слоты и подтвердим запись. Если хотите что-то добавить к запросу — можно дописать это здесь или в форме на {web_url}.",web,booking,low,true
web_thanks,"Спасибо за заявку","Спасибо, что поделились запросом. Мы бережно относимся к чувствительным темам и не даём медицинских обещаний — вместо этого выстраиваем поддерживающую работу шаг за шагом. Подробности и правила — на странице {web_url}.",web,other,low,true
web_stress,"Если запрос про стресс и выгорание","Тема стресса и выгорания очень живая для многих. В рамках нашей работы мы аккуратно исследуем ваш режим, нагрузки и сигналы тела, а затем подбираем мягкие поддерживающие практики. Описание подхода и формат записи — на {web_url}.",web,stress,low,true
